회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대
335481280,1,0,63.0,0,0,0,60대,339907.0,수지구,신봉동,1,9,1
335540672,1,0,59.0,0,0,0,50대,128935.0,수지구,풍덕천동,0,8,1
335544384,1,0,47.0,0,0,0,40대,50827.0,수지구,풍덕천동,0,3,1
336028800,1,0,56.0,1,0,0,50대,625149.0,수지구,성복동,0,21,1
336190272,1,0,68.0,1,0,0,60대,199578.0,분당구,야탑동,1,16,1
336411136,1,0,49.0,0,0,0,40대,686721.0,수지구,풍덕천동,0,43,1
336427840,1,0,50.0,0,0,0,50대,42308.0,기타,기타,0,1,1
336563328,1,0,56.0,0,0,0,50대,109504.0,수지구,동천동,0,8,1
336657984,1,0,55.0,1,0,0,50대,372279.0,수지구,풍덕천동,0,29,1
336838016,1,0,51.0,0,0,0,50대,20292.0,기타,기타,0,2,1
336876992,1,0,49.0,0,0,0,40대,1723.0,기타,기타,0,1,1
336893696,1,0,49.0,0,0,0,40대,17038.0,수지구,풍덕천동,0,4,1
336906688,1,0,50.0,0,0,0,50대,71790.0,서울 강남구,기타,0,1,1
337133120,1,0,50.0,0,0,0,50대,83277.0,수지구,풍덕천동,0,6,1
337166528,1,0,48.0,0,0,0,40대,131711.0,수지구,상현동,0,4,1
337355840,1,0,51.0,0,0,0,50대,81975.0,수지구,신봉동,0,7,1
338573376,1,0,48.0,0,0,0,40대,111705.0,기흥구,동백동,0,6,1
338781248,1,0,62.0,0,0,0,60대,130850.0,수지구,성복동,1,4,1
339013248,1,0,47.0,0,0,0,40대,36949.0,수지구,상현동,0,1,1
339941248,1,0,57.0,0,0,0,50대,59251.0,기타,은행동,0,3,1
340132416,1,0,42.0,0,1,0,40대,2001132.0,수지구,동천동,0,68,1
340162112,1,0,54.0,0,0,0,50대,44032.0,수지구,풍덕천동,0,4,1
340184384,1,0,45.0,0,1,0,40대,2271213.0,수지구,동천동,0,74,1
340423808,1,0,48.0,0,1,0,40대,1050918.0,수지구,동천동,0,55,1
340544448,1,0,54.0,0,0,0,50대,86532.0,수지구,풍덕천동,0,5,1
340637248,1,0,70.0,0,0,0,70대이상,192304.0,분당구,서현동,1,11,0
340915648,1,0,49.0,0,0,0,40대,115344.0,수지구,풍덕천동,0,8,1
340928640,1,0,50.0,0,0,0,50대,1273722.0,수지구,기타,0,40,1
340982464,1,0,53.0,0,0,0,50대,102805.0,수지구,성복동,0,6,1
341296128,1,0,49.0,1,0,0,40대,1053977.0,기흥구,죽전동,0,23,1
341604224,1,0,60.0,0,0,0,60대,170863.0,수지구,풍덕천동,1,5,1
341626496,1,0,50.0,0,0,0,50대,328512.0,수지구,동천동,0,16,1
341641344,1,0,55.0,0,0,0,50대,417437.0,수지구,동천동,0,26,1
341667328,1,0,57.0,0,0,0,50대,220924.0,기흥구,언남동,0,11,1
341786112,1,1,80.0,1,0,0,70대이상,289362.0,수지구,성복동,1,20,0
342044096,1,0,75.0,1,0,0,70대이상,671387.0,수지구,상현동,1,17,0
342103488,1,0,50.0,0,0,0,50대,330910.0,분당구,분당동,0,22,1
342363328,1,0,51.0,0,1,0,50대,522251.0,수지구,신봉동,0,50,1
342420864,1,0,47.0,0,0,0,40대,256678.0,분당구,구미동,0,20,1
342554496,1,0,56.0,0,0,0,50대,238251.0,수원 영통구,기타,0,13,1
342578624,1,0,63.0,0,0,0,60대,1977496.0,수지구,동천동,1,59,1
343126144,1,0,62.0,0,0,0,60대,44893.0,기흥구,중동,1,4,1
343274624,1,0,45.0,0,0,0,40대,115323.0,수지구,풍덕천동,0,4,1
343306176,1,0,54.0,0,1,0,50대,914997.0,수지구,풍덕천동,0,53,1
343588288,1,1,60.0,0,0,0,60대,99742.0,서울 송파구,기타,1,3,1
343681088,1,1,56.0,0,0,0,50대,44797.0,기타,기타,0,1,1
343983616,1,0,75.0,1,0,0,70대이상,523961.0,수지구,성복동,1,13,0
344076416,1,0,61.0,0,0,0,60대,61452.0,기타,기타,1,1,1
344466176,1,0,49.0,0,0,0,40대,45753.0,수지구,죽전동,0,2,1
344662912,1,1,83.0,0,0,0,70대이상,192497.0,수지구,성복동,1,12,0
344826240,1,0,51.0,0,0,0,50대,44988.0,수지구,풍덕천동,0,3,1
344887488,1,0,85.0,1,0,0,70대이상,706151.0,수지구,성복동,1,19,0
344950592,1,0,48.0,0,0,0,40대,119269.0,수지구,풍덕천동,0,5,1
345000704,1,0,48.0,0,0,0,40대,19144.0,수지구,신봉동,0,1,1
345017408,1,0,69.0,0,0,0,60대,884176.0,수지구,상현동,1,44,1
345644736,1,0,54.0,0,0,0,50대,26610.0,수지구,신봉동,0,1,1
345668864,1,0,45.0,0,0,0,40대,16464.0,수지구,상현동,0,1,1
345680000,1,0,46.0,0,0,0,40대,12444.0,분당구,이매동,0,1,1
345930560,1,0,72.0,1,0,0,70대이상,1183683.0,수지구,상현동,1,37,0
346184832,1,0,75.0,0,0,0,70대이상,267826.0,분당구,판교동,1,1,0
346216384,1,0,44.0,0,1,1,40대,1559242.0,수지구,풍덕천동,0,89,1
346572736,1,0,48.0,0,0,0,40대,321528.0,기타,기타,0,14,1
346661824,1,0,58.0,0,0,0,50대,382260.0,수지구,성복동,0,38,1
346888256,1,0,71.0,0,0,0,70대이상,174020.0,수지구,상현동,1,9,0
347747584,1,0,50.0,0,1,0,50대,537499.0,수지구,신봉동,0,34,1
348059392,1,0,52.0,1,0,0,50대,558587.0,기타,기타,0,11,1
348313664,1,0,57.0,0,0,0,50대,129798.0,수지구,풍덕천동,0,11,1
348358208,1,0,44.0,1,0,0,40대,964959.0,수지구,상현동,0,37,1
348419456,1,0,52.0,0,0,0,50대,16273.0,수지구,상현동,0,1,1
348569792,1,0,43.0,0,0,0,40대,201970.0,수지구,동천동,0,5,1
348764672,1,1,53.0,0,0,0,50대,197758.0,수지구,풍덕천동,0,10,1
348768384,1,0,50.0,0,0,0,50대,87202.0,수지구,죽전동,0,6,1
348796224,1,1,51.0,0,0,0,50대,149517.0,수지구,신봉동,0,11,1
348824064,1,0,66.0,1,0,0,60대,1166260.0,수지구,성복동,1,28,1
348916864,1,0,58.0,0,1,0,50대,141282.0,화성,보라동,0,3,1
348955840,1,1,45.0,1,0,0,40대,692038.0,수지구,상현동,0,25,1
348985536,1,0,57.0,0,0,0,50대,90744.0,수지구,풍덕천동,0,2,1
349172992,1,0,60.0,0,0,0,60대,308847.0,수지구,풍덕천동,1,15,1
349176704,1,0,56.0,0,0,0,50대,630512.0,수지구,풍덕천동,0,6,1
349239808,1,0,46.0,0,0,0,40대,91221.0,수지구,상현동,0,3,1
349263936,1,0,49.0,0,0,0,40대,40011.0,수지구,신봉동,0,4,1
349364160,1,0,59.0,0,0,0,50대,1022136.0,수지구,풍덕천동,0,48,1
349423552,1,1,52.0,1,0,0,50대,556328.0,수지구,상현동,0,13,1
349432832,1,0,53.0,0,0,0,50대,92085.0,수지구,상현동,0,4,1
349442112,1,0,48.0,1,0,0,40대,680410.0,수지구,풍덕천동,0,34,1
349564608,1,0,60.0,0,0,0,60대,2320805.0,수지구,신봉동,1,82,1
349588736,1,0,51.0,0,0,0,50대,25078.0,기흥구,언남동,0,2,1
349627712,1,0,56.0,0,0,0,50대,141761.0,수지구,신봉동,0,14,1
349700096,1,0,59.0,0,0,0,50대,764805.0,수지구,풍덕천동,0,49,1
349713088,1,0,50.0,0,0,0,50대,63559.0,수지구,죽전동,0,4,1
349896832,1,0,51.0,0,0,0,50대,61070.0,서울 강남구,기타,0,2,1
350206784,1,1,46.0,0,0,0,40대,57241.0,수지구,신봉동,0,2,1
350264320,1,0,49.0,1,0,0,40대,638384.0,기흥구,상하동,0,14,1
350498176,1,0,58.0,1,0,0,50대,847320.0,수지구,상현동,0,37,1
350522304,1,0,51.0,0,0,0,50대,1297648.0,수지구,성복동,0,37,1
350587264,1,0,52.0,0,0,0,50대,43840.0,수지구,풍덕천동,0,2,1
350622528,1,0,51.0,0,0,0,50대,56630.0,수지구,신봉동,0,3,1
350689344,1,0,49.0,0,0,0,40대,19527.0,수지구,풍덕천동,0,3,1
350941760,1,0,54.0,0,0,0,50대,28047.0,수지구,신봉동,0,1,1
350988160,1,0,54.0,0,0,0,50대,26228.0,수지구,풍덕천동,0,3,1
351053120,1,0,48.0,0,0,0,40대,3539750.0,수지구,풍덕천동,0,50,1
351079104,1,0,51.0,0,0,0,50대,226888.0,수지구,풍덕천동,0,10,1
351110656,1,1,59.0,0,0,0,50대,187518.0,수지구,죽전동,0,7,1
351145920,1,0,51.0,0,0,0,50대,280462.0,분당구,서현동,0,12,1
351166336,1,0,48.0,0,0,0,40대,50254.0,기타,기타,0,7,1
