회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
1352146112,3.0,1.0,0.0,4.0,0.75,0.25,0.0
1352801280,2.0,2.0,0.0,4.0,0.5,0.5,0.0
1353495424,0.0,3.0,1.0,4.0,0.0,0.75,0.25
1353525120,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1355356992,0.0,11.0,1.0,12.0,0.0,0.92,0.08
1356691456,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1357045952,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1359380800,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1359399360,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1359854080,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1361582016,3.0,4.0,1.0,8.0,0.38,0.5,0.12
1362608384,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1363244992,4.0,5.0,8.0,17.0,0.24,0.29,0.47
1363391616,2.0,13.0,4.0,19.0,0.11,0.68,0.21
1364399424,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1365652224,2.0,9.0,6.0,17.0,0.12,0.53,0.35
1367315200,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1369095104,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1372105536,12.0,41.0,6.0,59.0,0.2,0.69,0.1
1372361664,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1376506112,6.0,5.0,2.0,13.0,0.46,0.38,0.15
1377558464,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1377896256,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1379609344,0.0,36.0,2.0,38.0,0.0,0.95,0.05
1379956416,0.0,6.0,0.0,6.0,0.0,1.0,0.0
1380841728,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1380875136,1.0,3.0,0.0,4.0,0.25,0.75,0.0
1382061120,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1382738560,1.0,8.0,0.0,9.0,0.11,0.89,0.0
1384381120,2.0,6.0,5.0,13.0,0.15,0.46,0.38
1385205184,3.0,3.0,0.0,6.0,0.5,0.5,0.0
1386181440,3.0,0.0,0.0,3.0,1.0,0.0,0.0
1386183296,7.0,8.0,2.0,17.0,0.41,0.47,0.12
1386448704,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1387187392,1.0,2.0,2.0,5.0,0.2,0.4,0.4
1387358144,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1387382272,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1390195968,13.0,8.0,7.0,28.0,0.46,0.29,0.25
1407625664,4.0,5.0,0.0,9.0,0.44,0.56,0.0
1421731264,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1436315712,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1436827968,3.0,1.0,1.0,5.0,0.6,0.2,0.2
1437175040,2.0,2.0,0.0,4.0,0.5,0.5,0.0
1438453824,0.0,1.0,2.0,3.0,0.0,0.33,0.67
1438930816,2.0,0.0,2.0,4.0,0.5,0.0,0.5
1439721472,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1440025856,1.0,1.0,1.0,3.0,0.33,0.33,0.33
1440235584,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1441291648,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1442581568,0.0,1.0,2.0,3.0,0.0,0.33,0.67
1442978752,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1443535552,3.0,12.0,4.0,19.0,0.16,0.63,0.21
1443812096,1.0,2.0,1.0,4.0,0.25,0.5,0.25
1444036672,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1444502528,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1444832896,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1445842560,0.0,13.0,7.0,20.0,0.0,0.65,0.35
1446855936,1.0,1.0,0.0,2.0,0.5,0.5,0.0
1447420160,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1447568640,2.0,13.0,8.0,23.0,0.09,0.57,0.35
1447670720,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1448882688,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1449027456,0.0,3.0,0.0,3.0,0.0,1.0,0.0
1450293248,3.0,4.0,11.0,18.0,0.17,0.22,0.61
1451052352,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1451258368,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1451718656,2.0,0.0,1.0,3.0,0.67,0.0,0.33
1453082816,4.0,13.0,7.0,24.0,0.17,0.54,0.29
1453999680,1.0,3.0,1.0,5.0,0.2,0.6,0.2
